heading,content
REST API Proxy,Learn how you can expose an existing API through a REST API Proxy in Choreo and go on to manage it leveraging the full API Management capabilities of Choreo.
Create Your First Integration,"An integration component integrates APIs, microservices, applications, and data in different languages and formats.Consider a scenario where a developer has created an integration in WSO2 Integration Studio and wants to use it for API-led integration by exposing it in Choreo. In this tutorial, you will learn how to do the following actions to address this requirement:Expose an integration created in WSO2 Integration Studio as an API in Choreo by connecting the GitHub repository in which it resides to Choreo.
 Deploy the Integration component to the development environment.
 Test the Integration component.
 Observe statistics for the Integration component.
 Publish the Integration component and try it out in the production environment.For this tutorial, let's use a basic sample application to expose a proxy service developed in the WSO2 Integration Studio.!!! tip ""Before you begin!""
 To try this tutorial, you can use a sample integration designed via WSO2 Integration Studio.To do this, fork the choreo-examples GitHub repository."
Create Your First REST API,"A RESTful API (Application Program Interface) uses HTTP requests to access and use data. The operations you can perform on data are GET (reading), PUT (updating), POST (creating), and DELETE (deleting).Choreo’s low-code editor allows developers to easily design (and then implement) high-quality REST APIs. To explore this capability, let's consider a scenario where an Analyst needs to retrieve the daily count of COVID-19 patients per one million population by country. In this tutorial, you will address this requirement by doing the following:Design a REST API that addresses the described requirement, test it in the Web Editor, and then commit it so that it is available in the Choreo Console.
 Deploy the REST API you created to make it available for use.
 Test the REST API after deploying it to check whether it works as expected."
What is a webhook?,"A webhook is a cause that activates an action. Webhooks in Choreo are no different and are user-defined callbacks.Webhooks are used by developers to implement event-driven integrations. Before event-driven solutions, to identify an event occurrence, systems had to keep polling other systems periodically. With event-driven solutions, systems can focus on the main business-flow, and proactively be notified when an event of interest occurs in real-time. The following are some examples of scenarios where you can create webhooks for the mentioned platforms:Sending a chat message in a group chat when an event gets added in a slack channel.
 Generating an alert when a new issue gets created in a specific Git repository.
 Sending a notification when an event gets scheduled in a google calendar.Webhooks are a widely used programming element to create event-driven API architectures for real-time solutions."
Step 2: Develop the REST API Proxy,"Let's develop the REST API proxy by adding an operation. To do this, follow the steps given below:In the left navigation, click Develop.
 In the Resources tab, add a new resource to fetch the department ID as follows:
 Select GET as the HTTP verb.
 Enter /department/{departmentId} as the URI pattern.
 To add the new resource, click +.
 Once the resource is added, expand it, and then enter a name and a description for it as given below:
 Field
 Description
 Operation ID
 findDepartment
 Description
 Find a department by Department ID
 Click Save.
 Click API Definition. You will see the new operation you added in the OpenAPI definition."
Designing a REST API,"Designing a REST API is the process of declaring the resources, the appropriate HTTP verbs, paths, and input (request) and output (response) data formats to showcase the capabilities of the API. Designing an API based on a standard helps to do the design well and provide a consistent experience to the users of your API. The OpenAPI Specification is the most widely used standard for declaring HTTP/REST APIs. The design of an API is a crucial factor that determines the usability and the value of the API. A well-designed API is profitable due to the ease of adoption.Choreo’s low-code editor allows developers to design (and develop) high-quality REST APIs with ease. To design a REST API in Choreo, you must create a REST API component. You can design a REST API from scratch by manually specifying the resources, the HTTP verbs, paths, and other required elements. The Choreo roadmap also includes the capability to design a REST API by importing an OpenAPI document, which will be available soon.Choreo allows you to design your REST API in three possible ways as shown in the image below:{.cInlineImage-small}Start from scratch
 You can design a REST API via Choreo’s low-code editor that allows developers to design (and develop) high-quality REST APIs with ease. This method involves designing the REST API from scratch by manually specifying the resources, the HTTP verbs, paths, and other required elements.
 {.cInlineImage-threeQuarter}
 Choreo allows developers to easily specify input and output data formats for each API resource:
 {.cInlineImage-threeQuarter}
 {.cInlineImage-threeQuarter}
 Connect existing Ballerina repository
 If you have a REST API written in the Ballerina Programming Language, you can deploy it in Choreo. To do this, you must save it in a private GitHub repository and connect that repository to Choreo.
 Bring your Dockerfile
 If you have an existing REST API written in any programming language, you can deploy it in Choreo. To do this, you must generate a Docker image for the REST API and save the Dockerfile in a private GitHub repository. When you connect this GitHub repository to Choreo, you can build the Dockerfile to pull the REST API implementation from the Docker image."
Step 3: Create and publish a new version of the REST API,"Currently, the updates to the readinglist REST API are saved only as long as the deployment status of the readingList API remains Active. If you undeploy and redeploy the readingList API, Choreo deploys it in a new container. Therefore you cannot retrieve the reading list with the updates you made after the last deployment. To persist the data even after undeploying and redeploying the REST API, let's connect it to a MySQL database. Then let's create and publish a new version of the REST API with the ability to persist the data to the MySQL database.
 h3 -> Step 3.1: Provision a database
 To persist your updates to the reading list, provision a MySQL database on a cloud-based platform. For example, see AWS Documentation - Provision a database.To allow Choreo to interact with the database, add the following IPs to the allowlist of the provisioned database:- 20.22.170.144/28
 - 20.22.170.176/28For more information, see Connect with Protected Third Party Applications
 h3 -> Step 3.2: Create a new version of the REST API
 Let's create a new version of the readingList REST API that can connect to a MySQL database on a cloud platform to persist data, and then redeploy it. To do this, follow the steps given below:In the Choreo Console, open the readingList REST API (if it is not already open) and click the Deploy icon to open the Deploy tab.
 Expand the list of versions and click + Create New.
 {.cInlineImage-threeQuarters}
 Select version-2 as the associated GitHub branch and enter 2.0.0 as the version name. Next click Create.
 !!! info
 The version-2 GitHub branch has another version of the REST API implementation with the required configurations to connect to the sample MySQL.
 Click Config & Deploy. When the Config & Deploy pane opens, enter values for the dbHost, dbUser, dbPassword, dbName, and dbPort fields based on the database you provisioned in Step 3.1: Provision a database.
 Click Deploy.Now you have successfully deployed a new version of your REST API.
 h3 -> Step 3.3: Publish the new REST API version
 To publish the new version of the REST API you created, repeat Step 1.4: Publish the REST API
 h3 -> Step 3.4: Consume the new REST API version
 You can try out the new version via the front-end application. For more information about accessing and using the front-end application, see Step 2.3.5: Invoke the REST API.!!! info
 You do not need to subscribe the readingListApp application on the Developer Portal to the new REST API version because Choreo automatically creates this subscription."
Step 3: Test,"Once you have deployed the Integration REST API you can test it via the OpenAPI Console, or a cURL command.In this tutorial, let's test via the OpenAPI Console:To open the test view, click Test in the Development card. Alternatively, you can click the Test icon in the left panel.
 Click OpenAPI Console.
 Select the /HelloWorld resource and click Try it out.
 Click Execute. Choreo displays the following response under Response body.
 {""Hello"":""Integration""}The above response indicates that your micro integrator REST API is working as expected."
Step 1: Create and publish a REST API - Step 1: Create and publish a REST API,"In this step, you are playing the role of the API developer. You will create and publish the REST API that the web application needs to consume."
Developing a REST API,"Choreo supports spec-driven API development. Once you have carefully designed and defined your API, you can start implementing the functionality of your API. Choreo allows you to link a GitHub project when creating the REST API. You can implement your API as a Ballerina project or as in any language as a Docker container and store in the GitHub repo. Alternatively, if you are selecting the Ballerina preset when creating the REST API, you can link an empty GitHub repository, and then proceed to implement it before deploying the REST API.WSO2 provides a Ballerina extension for Visual Studio Code which you can use to easily develop your REST API as a Ballerina project."
Step 3: Deploy the REST API Proxy,"Deploying the REST API proxy makes it invokable. By default, Choreo maintains two environments for development and production. Learn more. For this tutorial, let's deploy the proxy to the development environment.In the left navigation menu, click Deploy.
 Click Configure & Deploy. The Configure & Deploy pane opens.
 In the Endpoint field, enter https://samples.choreoapps.dev/company/hr.
 The above URL is the endpoint of the sample API.
 If you have a sandbox environment to test the API proxy, you can give the URL to that environment in the Sandbox Endpoint field.
 Click Save & Deploy.Once you have deployed it to the development environment, you can test it. When you are ready to take it to production, you can return to this view and promote it by clicking Promote on the Development card."
Step 2: Build and deploy,"To implement the REST API, you need to build and deploy it. When you trigger the build you execute the commands in the selected Dockerfile to apply the required configurations to the REST API.To build and deploy the REST API, follow these steps:On the Deploy page, click Build and Deploy.
 !!! note
 Deploying the REST API component may take a while. You can track the progress by observing the logs.
 Once the deployment is complete, the deployment status changes to Active. The Invoke URL field displays the URL via which you can invoke the REST API.
 Check the deployment progress by observing the console logs on the right of the page.
 You can access the following scans under Build.
 The Dockerfile scan: This scans the Dockerfile for a user ID and fails the build if no user is assigned to the Docker container.
 Container (Trivy) vulnerability scan: This detects vulnerabilities in the Dockerfile-based image and in the third-party packages that the source code uses. If you click Container (Trivy) vulnerability scan, the details of the vulnerabilities open in a separate pane. If this scan detects critical vulnerabilities, the build will fail.
 !!! info
 If you want to bypass these vulnerabilities, you need to run Choreo on a private data plane.You can test, manage, and observe this REST API you created from a Dockerfile the way you would a Ballerina component.For detailed instructions, see the following sections of the Create Your First REST API tutorial.Step 3: Test
 Step 4: Manage"
