ArticleTitle	Question	Answer
Anders_Celsius	Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?	Anders Celsius
Anders_Celsius	The Celsius crater on the Moon is what?	named after him
Anders_Celsius	Is the Celsius crater on the Moon named after him ?	Yes
Anders_Celsius	Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?	Yes it had
Anders_Celsius	Was Celsius born in Uppsala in Sweden ?	Yes
Anders_Celsius	Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?	Yes he did
Anders_Celsius	What happened from 1730 to 1744?	He was professor of astronomy at Uppsala University
Anders_Celsius	What happened in 1745?	The scale was reversed
beetle	Are beetles insects?	Yes
beetle	Can beetles be found in polar regions?	No
beetle	Do beetles antennae function primarily as organs of smell?	Yes
beetle	What are the three sections of a beetle?	the head, the thorax, and the abdomen
beetle	Which defense mechanism uses colour or shape to deceive potential enemies?	mimicry
beetle	Which type of beetle is a pest of potato plants?	Colorado potato beetle
beetle	How can beetle larvae be differentiated from other insect larvae?	their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body
beetle	What do beetles eat?	Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.
beetle	What are the similarities between beetles and grasshoppers?	mouthparts
beetle	Are certain species of beetles considered pests?	Yes
beetle	Is a beetle's general anatomy uniform?	Yes
beetle	Are beetles endopterygotes?	yes
beetle	How many species of beetles are there?	350,000
beetle	When are sperm cells transferred to the female?	during pairing
beetle	What is the study of beetles called?	coleopterology
beetle	Is it possible that there are more than 350,000 species of beetles?	yes
beetle	Is the Adephaga suborder larger than the Polyphaga suborder?	no
beetle	Do carrion beetles eat dung?	no
beetle	What are prey of various animals including birds and mammals?	Beetles.
beetle	What was given by Aristotle for the hardened shield like forewings?	The name "Coleoptera".
beetle	Who or what vary greatly in form within the coleoptera?	Antennae.
beetle	Are many beetles territorial?	Yes.
beetle	Are beetles endopterygotes with complete metamorphosis?	Yes.
beetle	Oxygen is what?	One kind of gas obtained via a tracheal system.
beetle	Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?	Yes.
beetle	Have coleopterists formed organisations to facilitate the study of beetles ?	Yes.
beetle	Is the study of beetles called coleopterology , and its practitioners are coleopterists ?	Yes.
beetle	May a single female lay from several dozen to several thousand eggs during her lifetime ?	Yes.
beetle	Can beetles be found in almost all habitats?	Yes.
beetle	What happened on plants and fungi?	They are food to beetles.
Calvin_Coolidge	Was Calvin Coolidge the twenty-ninth vice president?	no
Calvin_Coolidge	Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?	yes
Calvin_Coolidge	Did Coolidge graduate from Black River Academy?	yes
Calvin_Coolidge	When did he drop John from his name?	upon graduating from college
Calvin_Coolidge	When did Coolidge meet and marry Grace Anna Goodhue?	1905
Calvin_Coolidge	What period of rapid economic growth did the United States experience during Coolidge's presidency?	the Roaring Twenties
Calvin_Coolidge	What did Coolidge do after graduating from Amherst?	Coolidge moved to Northampton, MassachuS08_setts
Calvin_Coolidge	Of what state was Coolidge governor?	MassachuS08_setts
Calvin_Coolidge	Who appointed Harlan Fiske Stone to the Supreme Court?	Coolidge
Calvin_Coolidge	Was Coolidge the thirteenth President of the United States?	No
Calvin_Coolidge	Was Calvin Coolidge Republican?	Yes
Calvin_Coolidge	Was Calvin Coolidge a governor of MassachuS08_setts?	Yes
Calvin_Coolidge	When was Coolidge born?	July 4 1872
Calvin_Coolidge	Where did Coolidge's grandfather had government offices?	Plymouth
Calvin_Coolidge	Which state were Coolidge born in?	Plymouth, Windsor County, Vermont
Calvin_Coolidge	Is Calvin Jr. older than John Coolidge?	No
Calvin_Coolidge	Did Coolidge get in Amherst College?	Yes
Calvin_Coolidge	What caused Calvin Jr.'s death?	heart attack
Calvin_Coolidge	Was John Calvin Coolidge Jr. was born in Las Vegas?	No
Calvin_Coolidge	Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?	Yes
Calvin_Coolidge	Did Coolidge meet and marry Grace Anna Goodhue?	Yes
Calvin_Coolidge	What year did Coolidge open his own law office?	1898
Calvin_Coolidge	What fraternity was Coolidge a member of?	Phi Gamma Delta
Calvin_Coolidge	In 1905 Coolidge met and married whom?	Grace Anna Goodhue
Calvin_Coolidge	Why did Coolidge not attend law school?	It was too expensive
Calvin_Coolidge	Have there been other US presidents that have visited Cuba?	No
Calvin_Coolidge	What years were Coolidge's two sons born in?	1906 and 1908
Canada	Did France cede nearly all of its colonies in Europe in 1763?	Yes.
Canada	Is Canada a member of the OECD?	Yes.
Canada	Is Canada's official language Zulu?	No.
Canada	What is one significant non-official language?	Chinese.
Canada	In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?	Quebec City
Canada	What was the Consitution Act formerly called?	The British North America Act.
Canada	Which countries established colonies in Canada?	France and Britain.
Canada	How has Canada helped UN peacekeeping efforts?	During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989
Canada	What percentage of the population don't speak English or French at home?	28%
Canada	Is Canada bilingual?	Yes.
Canada	Did Canadian soldiers win the Battle of Vimy Ridge in 1917?	Yes
Canada	Is an official language of Canada German?	No.
Canada	How many provinces and territories does Canada have?	A federation now comprising ten provinces and three territories
Canada	What is Canada's national unemployment rate?	While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador.
Canada	Where is the most densely populated part of Canada?	The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Canada	What is the largest country in the world?	Canada is the second largest country in the world, after Russia, and largest on the continent.
Canada	What is the largest religious group in Canada?	According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%.
Canada	When did Canada have one of the largest armed forces in the world?	1944
Canada	What have been inhabited for millennia by aboriginal peoples?	The lands
Canada	European books and maps began referring to this region as Canada in what year?	1545
Canada	What was Canada's most important industry until the 1800s?	The fur trade
Canada	Is it true that it angered many residents of the thirteen colonies?	yes
Canada	How do cuba and declining participation relate?	Canada maintains full relations with both.
Canada	Is it true that provinces have a large degree of autonomy?	yes
Canada	What did Canada adopt in 1965?	The Maple Leaf Flag
Canada	What arrived in Britain?	The first Canadian Army units in WW II
Canada	Are Canada 's two official languages English and French ?	yes
Canada	Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?	yes
Canada	Is Canada a geographically vast and ethnically diverse country ?	yes
Canada	Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?	no!
Canada	Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?	yes
Canada	Did continental European immigrants not S08_settle the prairies ?	no
Canada	Is it the world 's second largest country by total area?	yes
Canada	What happened in 1867?	Canada was formed as a federal, semi-autonomous polity
duck	Are ducks in the Arctic Northern Hemisphere migratory?	Some are
duck	Is a drake a male?	Yes
duck	Do all ducks "quack"?	No
duck	What is the name of a specialized species of duck adapted to catch large fish?	the smew
duck	What animal attracts the most humor and silliness?	The duck
duck	What is an economic use of a duck?	Meat
duck	Who is Daffy Duck?	A silly cartoon character
duck	What makes it more difficult for a diving duck to fly?	They are heavier
duck	What are the reasons for hunting wild ducks?	Meat, eggs, and feathers
duck	Do ducks forage underwater?	yes
duck	Is foie gras often made from ducks?	yes
duck	What economic uses to ducks have?	They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.
duck	What kind of ducks feed on land?	Dabbling ducks
duck	What unrelated water birds are ducks sometimes confused with?	loons or divers, grebes, gallinules, and coots
duck	What does the word duck mean?	It is the common name for a number of species in the Anatidae family of birds.
duck	What are some common predators of ducks?	Pike, crocodilians, herons, hawks and eagles.
duck	How does a Mallard's tongue work?	It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat
duck	Are diving ducks heavier tha dabbling ducks?	Yes
duck	Are adult ducks fast fliers?	Yes
duck	Are ducks an accepted presence in some populated areas?	Yes
duck	What types of unrelated water birds with similar forms are ducks sometimes confused with?	loons or divers, grebes, gallinules, and coots
duck	Why are ducklings particularly vulnerable?	Their inability to fly.
duck	What are some economic uses for duck?	Meat,eggs,feathers
duck	What allows a duck to filter water out of the side of their beaks and keep food inside?	Tiny rows of plates called lamellae
duck	What expression is part of a conceptual framework for testing computer systems?	Quacks like a duck
duck	Where did the expression "a sitting duck" come from?	In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.
Egypt	Is Egypt bordered by the Gaza Strip?	yes
Egypt	Is Egypt the most populated country in Africa?	no
Egypt	Does Egypt have political influence in the Middle East?	yes
Egypt	When was the Six Day War?	1967
Egypt	What religions has Egypt outlawed?	All but Christianity, Islam, and Judaism
Egypt	What is the poulation of Egypt?	more than 78 million
Egypt	Why does most of Egypt's population live near the Nile?	the only arable agricultural land is found there,
Egypt	Are there a large number of Jews living in Egypt today?	no
Egypt	During what period was Akhenaten a Pharaoh?	The New Kingdom (c.1550&#8722;1070 BC)
Egypt	Is Egypt in Asia?	No.
Egypt	Does Egypt receive the least rainfall in the world?	Yes.
Egypt	Does Egypt's foreign policy operates along moderate lines?	Yes.
Egypt	Since when has Egypt been a republic?	June 18 1953.
Egypt	When were the Great Sphinx and the Pyramids of Giza built?	During the Old Kingdom.
Egypt	What countries border Egypt?	Libya, Sudan, the Gaza Strip and Israel.
Egypt	What is the estimated population of Egypt?	More than 78 million.
Egypt	Does snow fall in Egypt?	Yes.
Egypt	When did organized agriculture appear in the Nile Valley?	6000 BC.
elephant	Are elephants the largest land animals alive today?	yes
elephant	Can an elephant kill a rhinoceros?	yes
elephant	Are elephants good swimmers?	yes
elephant	How many living species of African Elephants are there?	2
elephant	How long may elephants live?	70 years
elephant	Why does the phrase 'elephants never forget' have no metaphorical meaning?	it refers literally to elephants supposedly having an excellent memory
elephant	How many living species of Asian Elephants are there?	1
elephant	How much do elephants weight at birth?	120 kilograms
elephant	What did Aristotle say about elephants?	the beast which pasS08_seth all others in wit and mind
elephant	Are elephant populations in West Africa generally small and fragmented?	yes
elephant	Is the Asian elephant larger than the African?	no
elephant	Is an elephant's skin tough?	yes
elephant	How do elephants communicate over long distances?	by producing and receiving low frequency sound
elephant	When do African elephants lie down?	when they are sick or wounded
elephant	How long is the elephant's gestation period?	22 months
elephant	How many species of African elephants have been proposed?	three
elephant	What are the elephant's ears important for?	temperature regulation
elephant	What land animal has the largest brain?	elephant
elephant	Are elephants mammals?	yes
elephant	Have elephants been used as working animals?	yes
elephant	Do they prefer forested areas?	Yes
elephant	What is the world population of Asian elephants?	60000
elephant	What part of an elephant is very important for temperature regulation?	Ears
elephant	Where was the largest elephant ever recorded shot?	Angola
elephant	Is an Asian elephant smaller than an African elephant?	yes
elephant	What land animal is larger than an elephant?	None
elephant	Has tusklessness become a rare abnormality?	No
Finland	Were the treaties signed in 1947 and 1948 with the Ukraine?	no
Finland	Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?	yes
Finland	Is the most read newspaper in Finland Taloussanomat?	no
Finland	Which Russian army general conquered Finland in 1809?	Alexander I
Finland	What is the life expectancy for men in Finland?	75 years
Finland	In what year were the "Games of the XV Olympiad" held?	1952
Finland	What body of water lies to the south of Finland?	the Gulf of Finland
Finland	Name an animal that is growing in number due to recent conservation efforts	Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)
Finland	Today, are there more cell phone subscriptions than people in Finland?	yes
Finland	Is Matti Vanhanen the Prime Minister of Finland?	yes
Finland	Is the capital city Oslo?	no
Finland	Does it have a border with Norway?	yes
Finland	What is the life expectancy for men?	75 years
Finland	What is the biggest city in Finland?	Greater Helsinki
Finland	Who is the most popular rock group in Finland?	CMX
Finland	What is Finland's economy like?	a highly industrialised, free-market economy
Finland	Where is Finland located?	Northern Europe
Finland	What is the weather like in summer?	relatively warm
Finland	Does salmon remain the favorite of fly rod enthusiasts?	Yes
Finland	Are there cathedrals scattered all across Finland?	Yes
Finland	According to Reader's Digest, is Finland best for living?	Yes
Finland	When did the first verifiable written documents appear?	Twelfth Century
Finland	What is the capital city?	Helsinki
Finland	What is the most extensively celebrated holiday?	Christmas
Finland	Does a large proportion of the population speak Swedish as its mother tongue?	No
Finland	Do women live longer than men?	Yes
Finland	What is a country with which Finland is involved in an international conflict?	None
Gerald_Ford	Was Ford a member of the House of Representatives?	Yes
Gerald_Ford	For how long was Ford a member of the House of Representatives?	Over eight years.
Gerald_Ford	Was Gerald Ford a member of Delta Kappa Epsilon?	Yes
Gerald_Ford	Did ford get an award called "Congressman's congressman"?	Yes
Gerald_Ford	Did ford attend the University of Michigan?	Yes
Gerald_Ford	What positions Ford played in the school football team?	Center and linebacker
Gerald_Ford	What did Ford say about his biological father?	He was abusive and had a history of hitting his mother.
Gerald_Ford	Who did Ford nominate for Vice President?	Bob Dole
Gerald_Ford	Was Ford active about Vietnamese affairs?	No
\n	hard	hard
Gerald_Ford	Had Ford's wife married before?	Yes
Gerald_Ford	Is Ford related with the assassination of John F. Kennedy?	Yes
Gerald_Ford	Was Gerald Ford the 38th President of the United States?	yes
Gerald_Ford	Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?	yes
Gerald_Ford	Was Ford an Eagle Scout?	yes
Gerald_Ford	What district was Ford elected from?	Michigan's 5th congressional district
Gerald_Ford	How many Eagle Scouts were involved in Ford's funeral procession?	400
Gerald_Ford	Which future Heisman Trophy winner did Ford tackle?	Jay Berwanger
Gerald_Ford	Has another US President been an Eagle Scout?	no
Gerald_Ford	Did Ford need to do extra work to pay for college?	yes
Gerald_Ford	Have more than five Presidents lived past the age of 90?	no
Gerald_Ford	How do kwajalein and eniwetok relate?	The Monterey supported landings at both locations.
Gerald_Ford	What did Ford receive on April 13, 1942?	Ford received a commission as ensign in the US Naval Reserve.
Gerald_Ford	Was Ford released from the hospital?	Yes.
Gerald_Ford	Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?	Yes.
Gerald_Ford	Is Ford one of only four former Presidents to live to 90 or more years of age ?	Yes.
Gerald_Ford	Was Ford the last surviving member of the Warren Commission ?	Yes.
Gerald_Ford	Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?	No.
Gerald_Ford	Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?	They did claim Ford's pardon was quid pro quo.
Ghana	Does Ghana have twice the per capita output of the poorer countries in West Africa?	yes
Ghana	Is English Ghana's official language?	yes
Ghana	Did the Dutch build the Elmina Castle?	No
Ghana	When did Ghana achieve independence from the United Kingdom?	1957
Ghana	How many regions is Ghana divided into?	10
Ghana	Who is the head of state of Ghana?	President John Agyekum Kofuor
Ghana	What is the dominant religion in Ghana?	Christian
Ghana	What are the two subfamilies of the Native Ghanaian languages?	Kwa and Gur
Ghana	What is the weather like at Lake Volta?	Warm and comparatively dry
Ghana	Is Ghana in Asia?	no
Ghana	Is English the official language?	yes
Ghana	Is Ghana's head of state John Agyekum Kufuor?	yes
Ghana	What does the word Ghana mean?	warrior king
Ghana	Who was Kwame Nkrumah?	founder and first president
Ghana	Where is old Ghana in relation to present Ghana?	500 miles north
Ghana	Who makes up Ghana's Parliament?	the New Patriotic Party and National Democratic Congress
Ghana	What European countries established states in Ghana?	The UK
Gray_Wolf	Does the Gray Wolf share an ancestry with the domestic dog?	Yes
Gray_Wolf	Do wolf pups tend to have darker fur than adults?	Yes
Gray_Wolf	Do wolves leave their pack?	Yes
Gray_Wolf	What kinds of coats do wolves have?	bulky coats with two layers
Gray_Wolf	Where do wolves have scent glands?	Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.
Gray_Wolf	How much do wolves weigh?	typically varies between 32 and 62 kilograms
Gray_Wolf	Why do wolves howl?	Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a "rival" wolf in an area the wolf considers its own.
Gray_Wolf	What is surplus killing?	Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.
Gray_Wolf	Are Gray Wolves native to North America?	Yes
Gray_Wolf	Is the Gray Wolf a mammal?	Yes
Gray_Wolf	Are a wolf's teeth its main weapons?	Yes
Gray_Wolf	Are wolves built for stamina?	Yes
Gray_Wolf	Where is the largest gray wolf population thought to be found?	Kazakhstan
Gray_Wolf	To what genus does the gray wolf belong?	Canis
Gray_Wolf	When do wolves molt?	Late Spring or Early Summer
Gray_Wolf	Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?	A pack can only suppport one littler per year
Gray_Wolf	What type of tools do biologists use to capture wolves for tagging?	Darting and Foot hold traps.
Gray_Wolf	Forward, erect ears and slightly bristle hackles are a sign of what in wolves?	Dominance
Indonesia	Are the Javanese the largest and politically dominant ethnic group in Indonesia?	yes
Indonesia	Is Indonesia a monarchy with a presidential system?	no
Indonesia	Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?	yes
Indonesia	In what year did East Timor secede from Indonesia?	1999
Indonesia	When did Islam become the dominant religion in Java and Sumatra?	the end of the 16th century
Indonesia	Does Indonesia have the world's hightest level of biodiversity?	no
Indonesia	Was Indonesia named after it became an independent country?	no
Indonesia	Why did Indonesia break off relations with the People's Republic of China?	because of anti-communist purges early in the Suharto era
Indonesia	Which spice originally attracted Europeans to Indonesia?	nutmeg, cloves, or cubeb pepper
Indonesia	What is Jakarta?	Indonesia's special capital region
Indonesia	What shares land borders with Papua New Guinea, East Timor and Malaysia?	Indonesia
Indonesia	What are the largest and politically dominant ethnic group?	the Javanese
Indonesia	What happens when the srivijaya kingdom formed trade links?	The indonesian archipelago became an important trade region
Indonesia	Is it true that indonesia has vast areas of wilderness?	yes
Indonesia	Is Indonesia a republic?	yes
Indonesia	Are Sports in Indonesia generally male-orientated?	yes
Indonesia	Is Indonesia the world's largest archipelagic state?	yes
Indonesia	Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?	yes
Indonesia	Is Pencak Silat an Indonesian martial art ?	yes
Indonesia	Has Indonesia the world 's largest Muslim population ?	yes
Indonesia	Who has its own political legislature and governor ?	each province
Indonesia	Is it the world 's largest archipelagic state?	yes
Indonesia	Is it the world 's fourth most populous country and the most populous muslim-majority nation?	yes
James_Monroe	Is James Monrow the fifth president of US?	Yes
James_Monroe	What is the first word on the page?	James
James_Monroe	What is the first number on the page?	28
James_Monroe	When did Monroe's presidency expired?	March 4, 1825
James_Monroe	What is Monroe's father's name?	Spence
James_Monroe	What is Monroe's daughter's name?	Maria Hester Monroe Gouverneur
James_Monroe	What does "Era of Good Feelings" refers to?	Reduced tension
James_Monroe	Did Monroe' wedding happen at the Trinity Church in New York?	Yes
James_Monroe	What is Monroe Doctrine?	A doctrine declaring U.S. opposition to European interference in the Americas.
James_Monroe	Was James Monroe President of the United States?	yes
James_Monroe	Did James Monroe attend the College of William and Mary?	yes
James_Monroe	Did James Monroe fight in the Continental Army?	yes
James_Monroe	Where was James Monroe born?	Westmoreland County, Virginia
James_Monroe	Where was James Monroe shot?	at the Battle of Trenton, in his left shoulder
James_Monroe	Who did James Monroe marry?	Elizabeth Kortright
James_Monroe	What did James Monroe do before being elected governor?	He practiced law in Virginia.
James_Monroe	In which years were John Monroe elected as President?	1817-1825
James_Monroe	Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?	George Washington
James_Monroe	When was James Monroe appointed to Secretary of War?	1814
James_Monroe	When did James Monroe die?	July 4, 1831
James_Monroe	When did James Monroe graduate from William and Mary?	1776
James_Monroe	When was James Monroe elected president?	Monroe was elected president in the election of 1816, and re-elected in 1820.
James_Monroe	Which property did James Monroe sell in 1817?	Monroe Hill on the grounds of the University of Virginia.
James_Monroe	When did James Monroe introduce the Monroe Doctrine?	December 2, 1823
James_Monroe	Who did James Monroe live with in New York City?	His daughter Maria Hester Monroe Gouverneur
James_Monroe	What did James Monroe's letters not contain?	No letters survive in which he might have discussed his religious beliefs.
James_Monroe	What was the result of the rejection of the Jay Treaty?	As a result, the two nations moved closer toward the War of 1812.
James_Monroe	Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?	Monroe
James_Monroe	What dwindled and eventually died out, starting with the Hartford Convention?	The Federalist Party
James_Monroe	Is it true that he practiced law in fredericksburg?	yes
James_Monroe	What did James Monroe make in 1817?	two long tours
James_Monroe	Was Monroe anticlerical?	no
James_Monroe	Was Monroe appointed Minister to France from 1794 to 1796?	yes
James_Monroe	What expired on March?	Monroe's presidency
James_Monroe	Had Monroe racked up many debts during his years of public life ?	yes
James_Monroe	Who dismantled partisan and sectional coalitions ?	many congressmen
James_Monroe	What happened in 1811?	Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia
James_Monroe	What happened in the election of 1816?	Monroe was elected president
James_Watt	Who died in childbirth in 1772?	Margaret Miller
James_Watt	Who died in 1832?	Margaret Miller.
James_Watt	Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?	Yes.
James_Watt	Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?	Yes.
James_Watt	Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?	Yes.
James_Watt	Four years after opening his shop , Watt began what?	Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.
James_Watt	Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?	Yes.
John_Adams	Did John Adams represent the Continental Congress in Europe?	Yes.
John_Adams	Was Adams raised Congregationalist?	Yes.
John_Adams	Was Adams an opponent of the Stamp Act?	Yes.
kangaroo	Is a kangaroo a reptile?	no
kangaroo	Is a kangaroo on the Australian coat of arms?	yes
kangaroo	Was James Cook the first to record the name "Kangooroo?"	yes
kangaroo	What is a collective noun for kangaroos?	mob, troop, or court
kangaroo	Where do joeys complete postnatal development?	marsupium
kangaroo	What do kangaroos use for "crawl-walking?"	its hind feet
kangaroo	Why do kangaroos have a wide bite?	The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
kangaroo	What is responsible for converting the hydrogen byproduct of fermentation into acetate?	bacteria
kangaroo	Are wild kangaroos shot for meat?	yes
kangaroo	Have kangaroos fared well since European S08_settlement?	yes
kangaroo	Do kangaroos have many natural predators?	no
kangaroo	What is the average life expectancy of a kangaroo?	4.6 years
kangaroo	When did the first official report of kangaroo blindness take place?	1994
kangaroo	What are vehicles that frequent isolated roads often fitted with?	roo bars
kangaroo	Do kangaroos eat plants?	yes
kangaroo	What are some extinct predators of the kangaroo?	Thylacine, Marsupial Lion, Maagalania, and Wonambi
kangaroo	Is a Kangaroo a Marsupial?	Yes
kangaroo	Is the kangaroo an herbivour?	Yes
kangaroo	Are Kangaroos Shy?	Yes
kangaroo	What method of locomotion do Kangaroos Use?	hopping
kangaroo	What is a collective noun for a kangaroo?	a mob, troop, or court
kangaroo	What is a roo?	a kangaroo
kangaroo	What is used to protect a vehicale from a Kangaroo?	roo bars
kangaroo	What method is used by Kangaroos to travel?	hopping
kangaroo	Who asked a nearby local what the creatures were called?	Captain James Cook and naturalist Sir Joseph Banks
kangaroo	What are four species that are commonly referred to as kangaroos?	The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo
kangaroo	Are kangaroos and wallabies adept swimmers?	yes
kangaroo	Are kangaroos farmed to any extent?	No.
kangaroo	Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?	Veterinarians
kangaroo	Different species of kangaroos eat what?	different diets
kangaroo	Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?	yes
kangaroo	Is a collision with a vehicle capable of killing a kangaroo ?	yes
kangaroo	Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?	yes
kangaroo	Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?	yes
kangaroo	Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?	yes
kangaroo	What kinds of changes have larger kangaroos adapted much better to?	Changes wrought to the Australian landscape by humans.
kangaroo	Have larger kangaroos adapted much better to changes?	yes
leopard	Is the leopard smaller than the other members of Panthera?	yes
leopard	Is a leopard larger and less lanky than a cheetah?	yes
leopard	Are large pythons potential prey for leopards?	yes
leopard	What may a leopard be mistaken for?	A cheetah or a jaguar
leopard	What is a hybrid animal resulting from a union between a leopard and a puma?	a pumapard
leopard	Where do leopards often hide their kills?	in dense vegetation
leopard	How did early naturalists distinguish between leopards and panthers?	by the length of their tails
leopard	What are dark leopards known as colloquially?	Black Panthers
leopard	What shape are a leopard's black roS08_settes in East Africa?	circular
leopard	Is the leopard an Old World mammal?	yes
leopard	Is the leopard of the Felidae family?	yes
